catalog_id,name,biopsy_id,sample_id,sample_lookup_name,source_group,model1_rank,model1_score,model1_evidence,model1_mature_date,model1_immature_date,model1_older_than_count,model1_younger_than_count,model1_basis,model2_rank,model2_score,model2_evidence,model2_mature_date,model2_immature_date,model2_older_than_count,model2_younger_than_count,model2_basis,model3_rank,model3_score,model3_evidence,model3_mature_date,model3_immature_date,model3_older_than_count,model3_younger_than_count,model3_basis,model3_birth_year_anchor_date,model3_immature_plus_15_mature_date,model3_last_evidence_date,rank_change_model1_to_model2,movement_model1_to_model2,rank_change_model2_to_model3,movement_model2_to_model3,rank_change_model1_to_model3,movement_model1_to_model3,current_view_rank,rank_note
705,Independence Ray MP184,58,BI_K27,Independence Ray,HAMER,79,-5,immature,,2012-09-03,0,5,HAMER biopsy-linked age class,46,-7,immature,,2012-09-03,0,7,HAMER biopsy-linked age class immature,46,-7,immature,,2012-09-03,0,7,HAMER biopsy-linked age class immature,,2027-09-03,2022-06-28,33,Moved older/higher,0,No rank change,33,Moved older/higher,57,
1171,Rusty Ray,1049,BI148,Rusty,MPRF,9,0,none,,,0,0,,46,-7,immature,,2012-04-13,0,7,MPRF provided age class immature,46,-7,immature,,2012-04-13,0,7,MPRF provided age class pup,2012-04-13,2027-04-13,2024-04-13,-37,Moved younger/lower,0,No rank change,-37,Moved younger/lower,23,
958,Conae Ray,1008,BI107,Conae,MPRF,9,0,none,,,0,0,,49,-8,immature,,2014-06-17,0,8,MPRF provided age class immature,49,-8,immature,,2014-06-17,0,8,MPRF provided age class immature,,2029-06-17,2022-06-17,-40,Moved younger/lower,0,No rank change,-40,Moved younger/lower,41,
684,Eli Ray MP179,60,BI_K29,Eli Ray,HAMER,80,-6,immature,,2012-09-05,0,6,HAMER biopsy-linked age class,49,-8,immature,,2012-09-05,0,8,HAMER biopsy-linked age class immature,49,-8,immature,,2012-09-05,0,8,HAMER biopsy-linked age class immature,,2027-09-05,2017-12-06,31,Moved older/higher,0,No rank change,31,Moved older/higher,60,
1056,Kenzie Ray,1015,BI114,Kenzie,MPRF,9,0,none,,,0,0,,49,-8,immature,,2014-05-25,0,8,MPRF provided age class immature,49,-8,immature,,2014-05-25,0,8,MPRF provided age class pup,2014-05-25,2029-05-25,2024-05-25,-40,Moved younger/lower,0,No rank change,-40,Moved younger/lower,44,
1067,Lady Gray,1016,BI115,Lady Gray,MPRF,9,0,none,,,0,0,,49,-8,immature,,2014-08-19,0,8,MPRF provided age class immature,49,-8,immature,,2014-08-19,0,8,MPRF provided age class pup,2014-08-19,2029-08-19,2020-08-19,-40,Moved younger/lower,0,No rank change,-40,Moved younger/lower,51,
1073,Leon Ray,1017,BI116,Leon,MPRF,9,0,none,,,0,0,,49,-8,immature,,2014-07-25,0,8,MPRF provided age class immature,49,-8,immature,,2014-07-25,0,8,MPRF provided age class pup,2014-07-25,2029-07-25,2024-07-25,-40,Moved younger/lower,0,No rank change,-40,Moved younger/lower,35,
706,Margo MP114,61,BI_K28,Margo,HAMER,80,-6,immature,,2012-09-05,0,6,HAMER biopsy-linked age class,49,-8,immature,,2012-09-05,0,8,HAMER biopsy-linked age class immature,49,-8,immature,,2012-09-05,0,8,HAMER biopsy-linked age class immature,,2027-09-05,2024-02-12,31,Moved older/higher,0,No rank change,31,Moved older/higher,38,
1136,Orion Ray,1035,BI134,Orion,MPRF,9,0,none,,,0,0,,49,-8,immature,,2012-09-21,0,8,MPRF provided age class immature,49,-8,immature,,2012-09-21,0,8,MPRF provided age class pup,2012-09-21,2027-09-21,2023-09-21,-40,Moved younger/lower,0,No rank change,-40,Moved younger/lower,25,
707,Salem MP95,62,,,HAMER,80,-6,immature,,2012-09-05,0,6,HAMER biopsy-linked age class,49,-8,immature,,2012-09-05,0,8,HAMER biopsy-linked age class immature,49,-8,immature,,2012-09-05,0,8,HAMER biopsy-linked age class immature,,2027-09-05,2019-08-05,31,Moved older/higher,0,No rank change,31,Moved older/higher,35,
719,Gaby MP233,1005,BI104,Gaby,MPRF,9,0,none,,,0,0,,57,-10,immature,,2014-12-05,0,10,MPRF provided age class immature,57,-10,immature,,2014-12-05,0,10,MPRF provided age class pup,2014-12-05,2029-12-05,2024-12-05,-48,Moved younger/lower,0,No rank change,-48,Moved younger/lower,43,
700,Mango MP138 Cat73,81,,,HAMER,83,-8,immature,,2015-06-26,0,8,HAMER biopsy-linked age class,57,-10,immature,,2015-06-26,0,10,HAMER biopsy-linked age class immature,57,-10,immature,,2015-06-26,0,10,HAMER biopsy-linked age class immature,,2030-06-26,2017-05-26,26,Moved older/higher,0,No rank change,26,Moved older/higher,33,
1115,Mighty Q,1007,BI106,Mighty Q,MPRF,9,0,none,,,0,0,,57,-10,immature,,2015-04-03,0,10,MPRF provided age class immature,57,-10,immature,,2015-04-03,0,10,MPRF provided age class pup,2015-04-03,2030-04-03,2025-04-03,-48,Moved younger/lower,0,No rank change,-48,Moved younger/lower,49,
1222,Vitor Ray,1056,BI155,Vitor,MPRF,9,0,none,,,0,0,,57,-10,immature,,2015-06-10,0,10,MPRF provided age class immature,57,-10,immature,,2015-06-10,0,10,MPRF provided age class immature,,2030-06-10,2023-06-10,-48,Moved younger/lower,0,No rank change,-48,Moved younger/lower,35,
