catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref,kp1,kp2,good,inliers_ref,inlier_ratio_ref,best_other_inliers,best_other_ratio,margin_inliers,margin_ratio
30,739,947,6085,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/947/947.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6085/6085.jpg,0.8076683282852173,640,497,269,245,0.9107806691449815,22,0.7142857142857143,223,0.19649495485926716
183,470,575,6357,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/575/575.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6357/6357.jpg,0.8922783732414246,666,552,234,225,0.9615384615384616,8,0.6666666666666666,217,0.29487179487179493
15,106,121,6057,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/121/121.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6057/6057.jpg,0.8926790952682495,594,468,227,220,0.9691629955947136,8,1.0,212,-0.03083700440528636
79,507,619,6167,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/619/619.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6167/6167.jpg,0.6422646641731262,747,687,235,219,0.9319148936170213,8,0.5714285714285714,211,0.3604863221884499
281,445,534,6368,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/534/534.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6368/6368.jpg,0.7866332530975342,507,529,225,216,0.96,7,0.6666666666666666,209,0.29333333333333333
18,391,457,6132,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/457/457.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6132/6132.jpg,0.7539371252059937,715,524,231,216,0.935064935064935,9,0.8333333333333334,207,0.10173160173160167
69,919,1207,6222,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1207/1207.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6222/6222.jpg,0.881424605846405,1285,401,223,214,0.9596412556053812,8,0.625,206,0.33464125560538116
44,932,1222,6109,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1222/1222.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6109/6109.jpg,0.7827990055084229,753,408,215,208,0.9674418604651163,7,0.5555555555555556,201,0.4118863049095607
249,512,629,6386,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/629/629.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6386/6386.jpg,0.8019839525222778,546,562,214,206,0.9626168224299065,5,0.7142857142857143,201,0.24833110814419224
86,934,1225,6159,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1225/1225.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6159/6159.jpg,0.5917177200317383,723,510,212,206,0.9716981132075472,5,0.6666666666666666,201,0.30503144654088055
29,780,992,6363,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/992/992.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6363/6363.jpg,0.8339228630065918,641,394,214,205,0.9579439252336449,5,0.7142857142857143,200,0.2436582109479306
185,921,1209,6328,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1209/1209.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6328/6328.jpg,0.8520265817642212,880,468,222,218,0.9819819819819819,19,0.6666666666666666,199,0.3153153153153153
57,107,122,6023,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/122/122.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6023/6023.jpg,0.851830005645752,464,437,213,206,0.9671361502347418,10,0.8333333333333334,196,0.13380281690140838
113,762,971,6083,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/971/971.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6083/6083.jpg,0.8727104067802429,579,408,205,200,0.975609756097561,6,0.6666666666666666,194,0.3089430894308943
139,456,558,6200,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/558/558.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6200/6200.jpg,0.7888072729110718,734,490,218,201,0.9220183486238532,11,0.5555555555555556,190,0.36646279306829765
266,902,1182,6316,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1182/1182.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6316/6316.jpg,0.8026072978973389,1057,551,215,200,0.9302325581395349,11,0.6666666666666666,189,0.26356589147286824
155,1012,1382,6153,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1382/1382.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6153/6153.jpg,0.7204705476760864,573,500,200,194,0.97,5,0.6666666666666666,189,0.30333333333333334
72,691,893,6011,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/893/893.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6011/6011.jpg,0.7605276107788086,357,407,200,196,0.98,8,0.6666666666666666,188,0.31333333333333335
180,843,1068,6265,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1068/1068.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6265/6265.jpg,0.8388757705688477,594,396,196,188,0.9591836734693877,7,0.7142857142857143,181,0.2448979591836734
41,633,808,6165,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/808/808.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6165/6165.jpg,0.7243872880935669,901,476,205,186,0.9073170731707317,8,0.6666666666666666,178,0.2406504065040651
13,139,159,6112,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/159/159.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6112/6112.jpg,0.8375294804573059,398,355,201,185,0.9203980099502488,7,0.6666666666666666,178,0.25373134328358216
74,788,995,6056,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/995/995.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6056/6056.jpg,0.7139130234718323,725,416,216,194,0.8981481481481481,19,0.7142857142857143,175,0.18386243386243384
43,834,1055,6063,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1055/1055.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6063/6063.jpg,0.7558126449584961,434,412,199,189,0.949748743718593,14,0.5714285714285714,175,0.3783201722900216
248,364,426,6342,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/426/426.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6342/6342.jpg,0.684659481048584,1046,503,188,183,0.973404255319149,9,0.6666666666666666,174,0.30673758865248235
7,12,6,6026,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6/6.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6026/6026.jpg,0.786834716796875,550,460,200,182,0.91,12,0.5454545454545454,170,0.3645454545454546
84,564,713,6075,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/713/713.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6075/6075.jpg,0.6989312171936035,1217,534,171,170,0.9941520467836257,7,0.6666666666666666,163,0.32748538011695905
129,405,475,6330,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/475/475.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6330/6330.jpg,0.7749990224838257,376,385,174,166,0.9540229885057471,7,0.6666666666666666,159,0.28735632183908044
6,471,576,6114,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/576/576.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6114/6114.jpg,0.8125132322311401,535,364,175,168,0.96,11,0.7,157,0.26
126,811,1024,6412,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1024/1024.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6412/6412.jpg,0.7039375901222229,703,406,180,166,0.9222222222222223,9,0.75,157,0.17222222222222228
105,83,88,6017,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/88/88.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6017/6017.jpg,0.7803325057029724,472,412,171,161,0.9415204678362573,10,0.625,151,0.3165204678362573
61,74,77,6182,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/77/77.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6182/6182.jpg,0.8333646059036255,491,373,167,159,0.9520958083832335,8,0.6666666666666666,151,0.28542914171656686
235,433,511,6230,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/511/511.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6230/6230.jpg,0.6825940608978271,816,506,168,157,0.9345238095238095,9,0.6153846153846154,148,0.3191391941391941
37,518,641,6059,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/641/641.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6059/6059.jpg,0.8033512830734253,415,359,175,154,0.88,6,0.7142857142857143,148,0.1657142857142857
260,196,223,6410,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/223/223.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6410/6410.jpg,0.8019359111785889,1278,352,156,153,0.9807692307692307,5,0.8333333333333334,148,0.14743589743589736
109,121,138,6298,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/138/138.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6298/6298.jpg,0.7210350036621094,662,358,155,149,0.9612903225806452,8,0.5555555555555556,141,0.4057347670250896
258,389,455,6378,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/455/455.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6378/6378.jpg,0.6932482719421387,956,395,160,148,0.925,8,0.625,140,0.30000000000000004
121,266,311,6223,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/311/311.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6223/6223.jpg,0.747943103313446,537,322,141,136,0.9645390070921985,8,0.6666666666666666,128,0.2978723404255319
286,711,918,6361,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/918/918.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6361/6361.jpg,0.7073984146118164,770,420,150,136,0.9066666666666666,12,0.5555555555555556,124,0.35111111111111104
187,967,1283,6176,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1283/1283.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6176/6176.jpg,0.5052058696746826,516,351,137,130,0.948905109489051,8,0.6666666666666666,122,0.2822384428223844
253,774,983,6229,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/983/983.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6229/6229.jpg,0.829677939414978,588,338,144,129,0.8958333333333334,7,0.6666666666666666,122,0.22916666666666674
67,634,809,6014,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/809/809.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6014/6014.jpg,0.7362678050994873,469,282,140,129,0.9214285714285714,7,0.6666666666666666,122,0.25476190476190474
