output_filename,pk_catalog_id,gender,age_class,population,storage_path,photo_uuid,fk_catalog_id,pk_photo_id
634_Female_unknown_Maui-Nui.jpg,634,Female,unknown,Maui-Nui,photos-5187-5187.jpg,87737512-e96a-444a-bb20-31dae12d1397,634,5187
635_Female_unknown_Maui-Nui.jpg,635,Female,unknown,Maui-Nui,photos-5189-5189.jpg,22b14b34-c314-4336-9077-1604c645ee7c,635,5189
636_Female_unknown_Maui-Nui.jpg,636,Female,unknown,Maui-Nui,photos-5190-5190.jpg,93e6d109-c532-4505-abb3-e33ff5cae231,636,5190
637_Female_unknown_Maui-Nui.jpg,637,Female,unknown,Maui-Nui,photos-5191-5191.jpg,6b87c598-3ebe-475e-a9a3-1cb974f859c3,637,5191
638_Female_unknown_Maui-Nui.jpg,638,Female,unknown,Maui-Nui,photos-5192-5192.jpg,68c4abe5-4cf0-46be-b5af-5450d6da818f,638,5192
639_Female_unknown_Maui-Nui.jpg,639,Female,unknown,Maui-Nui,photos-5193-5193.jpg,0d851eb1-9729-4a2b-a169-4608b212810f,639,5193
640_Female_unknown_Maui-Nui.jpg,640,Female,unknown,Maui-Nui,photos-5194-5194.jpg,66b168ce-6a64-4d74-8f66-fd17ef1cd969,640,5194
641_Male_unknown_Maui-Nui.jpg,641,Male,unknown,Maui-Nui,photos-5195-5195.jpg,4e03a7ef-8cf5-4d88-b606-dc01d0c188cd,641,5195
642_Male_unknown_Maui-Nui.jpg,642,Male,unknown,Maui-Nui,photos-5196-5196.jpg,bf981124-4a2f-4faa-95c0-9afcbcf99927,642,5196
644_Male_unknown_Maui-Nui.jpg,644,Male,unknown,Maui-Nui,photos-5198-5198.jpg,26cbac15-18d8-4cd8-9d2f-0b2a3d8263aa,644,5198
645_Female_unknown_Maui-Nui.jpg,645,Female,unknown,Maui-Nui,photos-5200-5200.jpg,bf0fc20a-fe7b-4a29-a148-38819447ec29,645,5200
646_Female_unknown_Maui-Nui.jpg,646,Female,unknown,Maui-Nui,photos-5201-5201.jpg,8102951c-9f92-405c-935c-6022d909409c,646,5201
647_Unknown_Unknown_Maui-Nui.jpg,647,Unknown,Unknown,Maui-Nui,photos-5202-5202.jpg,5cc76e6e-5698-4470-8e58-5caf09cbf598,647,5202
648_Male_Adult_Oahu.jpg,648,Male,Adult,Oahu,photos-5203-5203.jpg,7969f1e2-be51-451e-85f7-906542badec5,648,5203
